,Carbohydrate,Energy,Fat,Fibre,Of which Saturates,Of which Sugars,Protein,Salt,product_name,Of which Polyunsaturated,Iron,Omega 3,Vitamin A,Vitamin B12,Sodium,Vitamin D,Calcium,Of which Trans,Vitamin C,Selenium,Thiamin,Iodine,Potassium,Riboflavin,Vitamin E,Vitamin B6,Biotin,Copper,Of which Polyols,Manganese,Omega 6,Folic Acid,Niacin,Polyunsaturates,Salt Equivalent,Magnesium,Pathogenic Acid,Zinc,Of which Starch,Vitamin K,Chloride,Pantothenic Acid,Cholesterol,Of which Cholesterol,box,label-glued,shrinkwrap,Omega 9
4509,60g,374kcal,8.0g,9.0g,1.5g,1.1g,11g,0g,Quaker Jumbo Rolled Oats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4510,56.1g,367kcal,8.4g,9.1g,1.3g,1.0g,12.1g,0.01g,Waitrose Duchy Jumbo Rolled Oats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4511,69g,362kcal,2.0g,10g,0.6g,4.2g,12g,0.28g,Weetabix Biscuits,,12mg,,,,,,,,,,0.94mg,,,1.2mg,,,,,,,,170µg,14mg,,,,,,,,,,,,,,,
4512,58.7g,466kcal,20.1g,6.0g,2.0g,16.0g,9.5g,0.20g,Dorset Cereals Simply Oat Granola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4513,67g,360kcal,2.2g,12g,0.5g,0.7g,12g,0.05g,Shredded Wheat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4514,68g,371kcal,5.7g,6.9g,0.9g,26g,8.3g,0.23g,"Quaker Oat So Simple Sultanas, Raisins Cranberry, Apple 10s",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4515,70g,364kcal,1.8g,12g,0.3g,13g,11g,0.72g,Nestlé Shreddies,,7.6mg,,,,,,,,,,,,,0.90mg,,0.99mg,,,,,,110µg,11mg,,,,,,,,,3.8mg,,,,,,
4516,67g,360kcal,2.2g,12g,0.5g,0.7g,12g,0.05g,Nestlé Shredded Wheat Biscuits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4517,69g,380kcal,6g,9g,3.5g,24g,8g,1g,Kellogg's Fruit'n Fibre,,8.8mg,,,1.6µg,,6.3µg,,,,,0.69mg,,,0.88mg,,0.88mg,,,,,,250µg,10.1mg,,,,,,,,,,,,,,,
4518,66g,374kcal,5.6g,7.7g,0.9g,21g,11g,0.25g,Alpen The Original Swiss Style Muesli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4519,82g,398kcal,4.5g,2.5g,0.7g,35g,6g,0.75g,Kellogg's Crunchy Nut,,8.0mg,,,2.1µg,,8.4µg,,,,,0.91mg,,,1.2mg,,1.2mg,,,,,,334µg,13.3mg,,,,,,,,,,,,,,,
4520,71.3g,335kcal,1.4g,8.3g,0.3g,16.5g,8.0g,0.15g,Essential Wholegrain Apricot Wheats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4521,73.5g,378kcal,3.6g,8.4g,0.7g,22.4g,8.7g,0.81g,Nestlé Honey Cheerios,,10mg,,,,,2.5µg,502mg,,55mg,,,,,0.89mg,,0.92mg,,,,,,180µg,11mg,,,,,,,,,3.3mg,,,,,,
4522,70g,364kcal,1.8g,12g,0.3g,13g,11g,0.72g,Nestlé Shreddies,,7.6mg,,,,,,,,,,,,,0.90mg,,0.99mg,,,,,,110µg,11mg,,,,,,,,,3.8mg,,,,,,
4523,70.8g,333kcal,1.4g,8.2g,0.3g,17.0g,7.9g,0.14g,Essential Blueberry Wheats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4524,54.2g,482kcal,23.4g,5.7g,2.8g,15.0g,10.8g,0.20g,Dorset Cereals Berry Granola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4525,63g,369kcal,5.8g,8.3g,0.9g,16g,12g,0.28g,Alpen No Added Sugar Swiss Style Muesli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4526,67g,403kcal,8.3g,8.1g,1.4g,16g,11g,0.28g,Weetabix Oatibix Flakes Red Berries,,11mg,,,2.0µg,,,,,,,0.89mg,,,1.1mg,,1.1mg,,,,,,162µg,13mg,,,,,,,,,4.9mg,,,,,,
4527,79g,376kcal,1.5g,5.3g,0.3g,17g,8.9g,0.95g,Kellogg's Special K Red Berries,,11mg,,,2.0µg,,8.0µg,,,,,1.7mg,,,2.2mg,,1.1mg,,,,,,318µg,13mg,,,,,7.9mg,,,,,,,,,,
4528,75g,386kcal,4.3g,6.8g,0.7g,19g,8.4g,0.20g,Weetabix Weetos Chocolatey Hoops,,12mg,,,2.1µg,,4.3µg,,,,,0.94mg,,,1.2mg,,1.2mg,,,,,,170µg,14mg,,,,,,,,,,,,,,,
4529,71g,398kcal,7.4g,5.9g,1.0g,19g,8.7g,0.50g,Quaker Oat So Simple Big Bowl Golden Syrup 6s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4530,68g,378kcal,6.2g,7.2g,1.2g,21g,8.6g,0.20g,"Quaker Oat So Simple Apple, Blueberry 10s",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4531,54.4g,415kcal,14.3g,8.1g,2.0g,8.4g,13.2g,0.03g,Dorset Cereals Gloriously Nutty Muesli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4532,66.6g,344kcal,3.8g,8.4g,1.2g,28.6g,6.8g,0.08g,Essential Fruit Muesli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4533,65.2g,416kcal,11.2g,8.0g,4.3g,20.1g,9.6g,0.03g,Waitrose Oat Crunchy Blueberry &Cranberry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4534,68g,366kcal,3.8g,10g,1.6g,17g,10g,0.18g,Weetabix Chocolate,,12mg,,,,,,,,,,0.94mg,,,1.2mg,,,,,,,,170µg,14mg,,,,,,,,,,,,,,,
4535,59g,449kcal,18g,8.5g,1.9g,12g,8.5g,0.2g,"W.K Kellogg Coconut, Cashew & Almond Granola",,,,,,,,,,,,,,,,,,,,,,,,,,,87mg,,,,,,,,,,,,
4536,69g,367kcal,2.2g,13g,0.5g,0.7g,12g,0.05g,Nestlé Bitesize Shredded Wheat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4537,66g,399kcal,7.9g,9.0g,1.4g,4.7g,11g,0.88g,Nestlé Low Sugar Oat Cheerios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4538,56.1g,367kcal,8.4g,9.1g,1.3g,1.0g,12.1g,<0.01g,Mornflake Scottish Jumbo Oats,,,,,,,,,,,,,,,,,,,,,3.4mg,,,,,,,,2.1mg,,,,,,,,,,
4539,69g,367kcal,2.2g,13g,0.5g,0.7g,12g,0.05g,Nestlé Shredded Wheat Bitesize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4540,86g,387kcal,1.2g,2.0g,0.4g,7.9g,7g,1g,Kellogg's Rice Krispies,,8.0mg,,,2.1µg,,8.4µg,,,,,0.91mg,,,1.2mg,,1.2mg,,,,,,166µg,13.3mg,,,,,,,,,,,,,,,
4541,71.2g,382kcal,4.7g,8.9g,0.9g,17.6g,9.4g,0.84g,Nestlé Cheerios,,13mg,,,,,2.5µg,525mg,,40mg,,,,,0.94mg,,0.96mg,,,,,,163µg,12mg,,,,,,,,,3.4mg,,,,,,
4542,64.7g,419kcal,12.1g,8.7g,6.4g,24.3g,8.6g,0.05g,"Waitrose Banana, Papaya & Honey Granola",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4543,61.5g,369kcal,8.1g,8.1g,3.1g,23.9g,8.5g,0.03g,Jordans Fruit & Nut Muesli,2.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4544,65.6g,344kcal,2.3g,13.0g,0.5g,25.6g,8.6g,0.48g,Essential Sultana Bran,,71% of NRV,,,72% of NRV,,74% of NRV,,,,,73% of NRV,,,71% of NRV,73% of NRV,71% of NRV,,,,,,73% of NRV,75% of NRV,,,,,,,,,73% of NRV,,,,,,
4545,68.4g,349kcal,2.9g,7.3g,0.6g,20.1g,8.6g,0.05g,Dorset Cereals Simply Fruity Muesli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4546,68,359kcal,2.1,12,0.4,8.6,11,1.04,Post Grape-Nuts,,27.9mg,,,,,,,,,,0.83mg,,,,,2.34mg,,,,,,372.41µg,12.4mg,,,95.72mg,,5.69mg,,,,,,,,,,
4547,85.1g,385kcal,1.2g,1.6g,0.4g,8.8g,7.5g,0.73g,Essential Rice Pops,,100% of NRV,,,100% of NRV,,100% of NRV,,,,,100% of NRV,,,100% of NRV,,100% of NRV,,,,,,100% of NRV,100% of NRV,,,,,,,,,100% of NRV,,,,,,
4548,66g,373kcal,5.1g,5.5g,0.9g,29g,14g,0.55g,Quaker Oat So Simple Pot Golden Syrup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4549,64.4g,376kcal,6.8g,8.6g,1.1g,14.2g,9.9g,0.03g,Dorset Cereals Simply Nutty Muesli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4550,69g,362kcal,2.0g,10g,0.6g,4.2g,12g,0.28g,Weetabix,,12mg,,,,,,,,,,0.94mg,,,1.2mg,,,,,,,,170µg,14mg,,,,,,,,,,,,,,,
4551,61.5g,368kcal,7.3g,9.0g,1.1g,14.7g,9.6g,0.03g,Dorset Cereals Simply Delicious Muesli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4552,45.2g,501kcal,27.1g,9.7g,4.2g,3.8g,14.2g,0.02g,Lizi's Low Sugar Granola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4553,59g,370kcal,7.7g,9.0g,1.3g,1.0g,11g,0g,Quaker Oat So Simple Original 20s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4554,62g,365kcal,2.4g,9.9g,0.4g,4.7g,19g,0.23g,Weetabix Protein,,12mg,,,,,,,,,,0.94mg,,,1.2mg,,,,,,,,170µg,14mg,,,,,,,,,,,,,,,
4555,69g,362kcal,2.0g,10g,0.6g,4.4g,12g,0.28g,Weetabix,,12mg,,,,,,,,,,0.94mg,,,1.2mg,,,,,,,,170µg,14mg,,,,,,,,,,,,,,,
4556,74.9g,382kcal,2.8g,9.4g,0.7g,15.6g,9.7g,0.42g,Essential Multigrain Hoops,,100% of NRV,,,100% of NRV,,100% of NRV,,,,,100% of NRV,,,100% of NRV,,100% of NRV,,,,,,50% of NRV,100% of NRV,,,,,,,,,100% of NRV,,,,,,
4557,64g,371kcal,5.8g,8.3g,1.0g,0.9g,11g,<0.01g,Flahavan's Irish Porridge Oats Original,,3.6mg,,,,,,,,,,0.36mg,,,,,,,,,,,,,,,,,,,,,,,,,,,
4558,58g,370kcal,7.2g,9.3g,1.3g,1.0g,13g,0.01g,Quaker Oat So Simple Gluten Free 10s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4559,67g,379kcal,6.6g,7.4g,1.2g,19g,9.0g,0g,Quaker Oat So Simple Sweet Cinnamon 10s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4560,61.9g,425kcal,13.6g,7.0g,2.6g,17.2g,10.4g,0.03g,Jordans Super Berry Granola,4.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4561,78g,387kcal,2.4g,6.7g,0.8g,12g,10g,0.13g,BEAR Alphabites Coco Cereal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4562,69g,374kcal,3.9g,9.6g,0.7g,18g,11g,0.17g,Weetabix Crispy Minis Fruit & Nut,,12mg,,,,,4.3µg,,,,,0.94mg,,,1.2mg,,,,,,,,170µg,14mg,,,,,,,,,,,,,,,
4563,56.0g,355kcal,6.3g,11.5g,1.0g,1.1g,12.9g,0.03g,Essential Porridge Oats With Wheatbran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4564,47.3g,364kcal,9.4g,18.2g,1.8g,1.2g,13.4g,<0.01g,Mornflake Oatbran,,,,,,,,,,,,,,,,,,52µg,,,4.7mg,,101µg,,,,,,3.0mg,,,,,,,,,,
4565,71.2g,382kcal,4.7g,8.9g,0.9g,17.6g,9.4g,0.84g,Nestlé Multigrain Cheerios,,13mg,,,,,2.5µg,525mg,,40mg,,,,,0.94mg,,0.96mg,,,,,,163µg,12mg,,,,,,,,,3.4mg,,,,,,
4566,56.6g,470kcal,20.6g,6.5g,3.7g,15.2g,11.5g,0.03g,Jordans Super Nutty Granola,6.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4567,58.7g,477kcal,21.2g,6.3g,5.2g,18.9g,9.6g,0.03g,Jordans Country Crisp Chunky Nuts,5.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4568,64g,371kcal,5.8g,8.3g,1.0g,0.9g,11g,<0.01g,Flahavan's Irish Quick Oats Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4569,61.9g,451kcal,16.8g,6.7g,3.6g,15.9g,9.8g,0.10g,Dorset Cereals Chocolate & Cherry Granola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4570,61.2g,374kcal,8.1g,8.6g,1.1g,13.2g,9.6g,0.03g,Waitrose Duchy Muesli with Raisins & Almonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4571,51.2g,404kcal,15.0g,9.0g,3.0g,16.9g,11.6g,0.03g,Dorset Cereals Fantastically Fruity Muesli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4572,66.5g,445kcal,14.9g,6.4g,4.7g,20.8g,8.1g,0.03g,Jordans Country Crisp Strawberry,3.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4573,63.6g,358kcal,6.8g,7.9g,1.2g,1.0g,6.7g,0.01g,Jordans Organic Porridge Chunky Whole Oats,2.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4574,57.5g,375kcal,9.9g,8.6g,1.7g,18.7g,9.6g,0.03g,Jordans Four Nut Muesli,3.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4575,61.6g,412kcal,12.6g,6.6g,2.3g,24.4g,9.9g,0.03g,Jordans Crunchy Oat Granola Raisin & Almond,3.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4576,56.1g,379kcal,11.0g,9.6g,4.1g,12.1g,10.7g,0.1g,MOMA Bircher Muesli Raspberry & Coconut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4577,69.6g,361kcal,1.7g,10.9g,0.4g,10.6g,11.3g,0.42g,Essential Malted Wheats,,100% of NRV,,,100% of NRV,,100% of NRV,,,,,100% of NRV,,,100% of NRV,,100% of NRV,,,,,,100% of NRV,100% of NRV,,,,,,,,,100% of NRV,,,,,,
4578,80.0g,kJ,0.8g,5.0g,0.2g,4.0g,8.0g,0.8g,Whole Earth corn flakes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4579,74g,375kcal,2.9g,7.2g,0.5g,12g,9.5g,0.04g,BEAR Alphabites Multigrain Cereal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4580,58g,374kcal,8.7g,7.9g,1.2g,1.0g,12g,0.03g,Ready Brek Original Smooth Porridge Oat Sachets,,12mg,,,2.1µg,,4.3µg,1340mg,,,,0.94mg,,,1.2mg,,1.2mg,,,,,,170µg,14mg,,,,,,,,,,,,,,,
4581,79g,371kcal,2g,4.5g,0.3g,23g,7.0g,0.98g,Kellogg's Just Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4582,57g,365kcal,5.8g,7.0g,0.8g,12g,17g,0.15g,Quaker Oat So Simple Original Pot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4583,65g,376kcal,5.2g,5.6g,1.1g,28g,14g,0.31g,Quaker Oat So Simple Pot Sweet Cinnamon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4584,74.1g,422kcal,10.2g,4.3g,1.1g,25.0g,6.2g,0.88g,Nestlé Curiously Cinnamon,,7.3mg,,,,,3.14µg,626mg,,,,1.3mg,,,1.3mg,,1.3mg,,,,,,178µg,14.7mg,,,,,,,,,5.3mg,,,,,,
4585,84g,382kcal,1.9g,3g,0.9g,17g,6.3g,0.65g,Kellogg's Coco Pops,,8.0mg,,,2.1µg,,8.4µg,,,,,0.91mg,,,1.2mg,,1.2mg,,,,,,166µg,13.3mg,,,,,,,,,,,,,,,
4586,87g,375kcal,0.6g,2g,0.1g,37g,4.5g,0.83g,Kellogg's Frosties,,8.0mg,,,2.1µg,,8.4µg,,,,,0.91mg,,,1.2mg,,1.2mg,,,,,,166µg,13.3mg,,,,,,,,,,,,,,,
4587,58g,375kcal,6.5g,14g,1.0g,11g,13g,0.84g,Quaker Original Oat Crisp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4588,71.2g,340kcal,1.5g,8.4g,0.3g,18.0g,8.4g,0.03g,Essential No Added Sugar Raisin Wheats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4589,10.6g,64kcal,1.2g,1.0g,0.3g,0.1g,2.1g,0g,Rude Health Puffed Oats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4590,73g,1571/372,2.5g,9.3g,0.4g,5g,9.6g,0g,Sharpham Park Crunchy Spelt Bran Flakes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4591,54g,351kcal,4.3g,22g,0.8g,14g,13g,0.58g,Weetabix crunchy bran,,12mg,,,2.1µg,,4.3µg,344mg,,,,0.94mg,,,1.2mg,,1.2mg,,,,,,250µg,14mg,,,,,,,,,,,,,,,
4592,85.1g,394kcal,2.8g,2.4g,1.5g,29.3g,6.0g,0.65g,Essential Choco Pops,,86% of NRV,,,64% of NRV,,64% of NRV,,,,,64% of NRV,,,64% of NRV,,64% of NRV,,,,,,65% of NRV,63% of NRV,,,,,,,,,65% of NRV,,,,,,
4593,67g,460kcal,17g,3.5g,5g,31g,8g,0.83g,Kellogg's Crunchy Nut Chocolate Clusters Cereal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4594,67g,375kcal,4.7g,4.4g,0.8g,26g,14g,0.24g,Quaker Oat So Simple Pot Summer Berries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4595,65g,375kcal,5.0g,5.5g,1.0g,28g,14g,0.30g,Quaker Oat So Simple Pot Apple & Blueberry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4596,87g,375kcal,0.6g,2g,0.1g,37g,4.5g,0.83g,Kellogg's Frosties,,8.0mg,,,2.1?g,,8.4?g,,,,,0.91mg,,,1.2mg,,1.2mg,,,,,,166?g,13.3mg,,,,,,,,,,,,,,,
4597,84g,382kcal,1.9g,3g,0.9g,17g,6.3g,0.65g,Kellogg's Coco Pops,,8.0mg,,,2.1µg,,8.4µg,,,,,0.91mg,,,1.2mg,,1.2mg,,,,,,166µg,13.3mg,,,,,,,,,,,,,,,
4598,79g,373kcal,1.5g,4.5g,0.3g,19g,8g,0.95g,Kellogg's Special K Peach & Apricot,,11.1mg,,,2.0µg,,7.9µg,,,,,1.7mg,,,2.2mg,,1.1mg,,,,,,316µg,12.6mg,,,,,7.90mg,,,,,,,,,,
4599,86g,387kcal,1.2g,2g,0.4g,7.9g,7g,1g,Kellogg's Rice Krispies,,8.0mg,,,2.1µg,,8.4µg,,,,,0.91mg,,,1.2mg,,1.2mg,,,,,,166µg,13.3mg,,,,,,,,,,,,,,,
4600,68g,447kcal,15g,4g,3g,26g,8g,0.95g,Kellogg's Crunchy Nut Clusters Honey & Nut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4601,65g,359kcal,2.6g,14g,0.4g,14g,12g,0.68g,Kellogg's Bran Flakes,,11.6mg,,,2.1µg,,8.4µg,,,,,0.91mg,,,1.2mg,,1.2mg,,,,,,334µg,13.3mg,,,,,,,,,,,,,,,
4602,68g,387kcal,5.4g,9.8g,1.2g,15g,12g,0.04g,Nestlé Shredded Wheat Honey & Nut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4603,87g,383kcal,1g,1g,0.2g,10g,6g,1.13g,Kellogg's Variety 8 Pack,,8mg,,,2.1µg,,4.2µg,,,,,0.91mg,,,1.2mg,,1.2mg,,,,,,166µg,13.3mg,,,,,,,,,,,,,,,
4604,67g,376kcal,5.0g,5.0g,0.8g,27g,14g,0.22g,Quaker Oat So Simple Pot Banana & Strawberry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4605,78g,382kcal,3.1g,7.5g,0.6g,15g,7.5g,0.18g,Kellogg's Rice Krispies Multi-Grain Shapes,,8mg,,,2.1µg,,8.4µg,456mg,,,,0.91mg,,,1.2mg,,1.2mg,,,,,,166µg,13.3mg,,,,,,,,,,,,,,,
4606,76g,370kcal,1.5g,9.0g,0.2g,25g,9.2g,0.61g,Nestlé Frosted Shreddies,,6.5mg,,,,,,,,,,,,,0.77mg,,0.84mg,,,,,,93.8µg,9.3mg,,,,,,,,,3.3mg,,,,,,
4607,63g,407kcal,11g,13g,1.2g,21g,7.6g,0.83g,Kellogg's All-Bran Fibre Crunch,,8.0mg,,,1.4µg,,5.5µg,,,,,0.62mg,,,0.78mg,,0.78mg,,,,,,166µg,9.0mg,,,,,,,,,,,,,,,
4608,75g,371kcal,1.9g,9.3g,0.6g,27g,9.2g,0.58g,Nestlé Coco Shreddies,,7.0mg,,,,,,,,,,,,,0.73mg,,0.80mg,,,,,,88.4µg,9.0mg,,,,,,,,,3.1mg,,,,,,
4609,66g,373kcal,5.1g,5.5g,0.9g,29g,14g,0.55g,Quaker Oat So Simple Golden Syrup Big Pot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4610,64g,371kcal,5.8g,8.3g,1.0g,0.9g,11g,<0.01g,Flahavan's Irish Porridge Oats 10s Original,,,,,,,,,,,,0.36mg,,,,,,,,,,,,,,,,,,,,,,,,,,,
4611,24.0g,126kcal,0.8g,3.1g,0.2g,0.2g,4.2g,0g,Rude Health Spelt Flakes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4612,63.6g,354kcal,3.9g,6.4g,1.0g,26.8g,13.9g,0.26g,MOMA Cranberry & Raisin Porridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4613,70g,441kcal,14g,3.1g,4g,28g,7.2g,0.95g,Kellogg's Krave Milk Chocolate,,8.0mg,,,2.1µg,,,,,,,0.91mg,,,1.2mg,,1.2mg,,,,,,166µg,13.3mg,,,,,,,,,,,,,,,
4614,69g,380kcal,6g,9g,3.5g,24g,8g,1g,Kellogg's Fruit'n Fibre,,8.8mg,,,1.6?g,,6.3?g,,,,,0.69mg,,,0.88mg,,0.88mg,,,,,,250?g,10.1mg,,,,,,,,,,,,,,,
4615,68g,349kcal,2g,11g,0.3g,30g,9.3g,0.58g,Kellogg's Sultana Bran,,8.8mg,,,1.6µg,,6.4µg,,,,,0.69mg,,,0.88mg,,0.88mg,,,,,,250µg,10mg,,,,,,,,,,,,,,,
4616,68g,450kcal,16g,3.3g,4g,29g,6.9g,1.1g,Kellogg's Krave Chocolate Hazelnut,,8.0mg,,,2.1µg,,,,,,,0.91mg,,,1.2mg,,1.2mg,,,,,,166µg,13.3mg,,,,,,,,,,,,,,,
4617,42g,414kcal,16g,21g,1.8g,4.7g,15g,0.28g,Kellogg's All-Bran Prebiotic Almond & Pumpkin Seeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4618,45g,388kcal,12g,22g,1.3g,4.9g,14g,0.31g,Kellogg's All-Bran Prebiotic Oaty Clusters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4619,57.8g,373kcal,6.4g,7.2g,1.4g,13.2g,17.5g,0.23g,Waitrose Original Porridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4620,86g,387kcal,1.2g,2.0g,0.4g,7.9g,7g,1g,Kellogg's Rice Krispies,,8.0mg,,,2.1µg,,8.4µg,,,,,0.91mg,,,1.2mg,,1.2mg,,,,,,166µg,13.3mg,,,,,,,,,,,,,,,
4621,75g,407kcal,7.7g,5.5g,2.7g,25g,6.7g,0.73g,Kellogg's Coco Pops Rocks,,8.0mg,,,2.1µg,,5.0µg,,,,,0.91mg,,,1.2mg,,1.2mg,,,,,,166µg,13.3mg,,,,,,,,,,,,,,,
4622,71g,328kcal,1.8g,7.6g,0.2g,13g,11g,0.01g,Kellogg's Raisin Wheats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4623,84g,382kcal,1.1g,4.0g,0.3g,8.3g,7.4g,0.97g,Go Free Gluten Free Corn Flakes,,16mg,,,,,,,,,,,,,1.6mg,,1.5mg,,,,,,219µg,20mg,,,,,,,,,4.6mg,,,,,,
4624,62.6g,378kcal,6.0g,5.7g,1.2g,18.5g,15.6g,0.23g,Waitrose LoveLife Golden Syrup Flavour Porridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4625,72g,364kcal,2g,9g,0.6g,17g,10g,0.03g,Kellogg's Frosted Wheats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4626,31.05g,162kcal,0.72g,3.87g,0.18g,0.68g,5.85g,0g,Rude Health Puffed Wheat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4627,71.6g,335kcal,2.5g,8.2g,0.3g,4.2g,9.6g,<1g,Sharpham Park Spelt Multi Flakes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4628,50.3g,408kcal,15.2g,7.8g,2.2g,17.4g,13.5g,0.03g,Dorset Cereals Gluten Free Tropical Muesli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4629,48.6g,405kcal,15.4g,9.3g,2.0g,18.1g,13.4g,0.03g,Dorset Cereals Gluten Free Berry Muesli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4630,48.3g,463kcal,20.9g,14.0g,2.6g,9.9g,13.3g,0.04g,Bio&Me Super Seedy & Nutty Granola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4631,53.7g,400kcal,14.4g,5.4g,3.6g,10.0g,11.4g,0.02g,Deliciously Ella Buckwheat Granola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4632,49g,497kcal,26.4g,7.4g,4.8g,3.6g,12.2g,0.37g,Lizi's Low Sugar Granola Maple & Pecan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
