,Carbohydrate,Energy,Fat,Fibre,Of which Saturates,Of which Sugars,Protein,Salt,product_name,Of which Polyunsaturated,Iron,Omega 3,Vitamin A,Vitamin B12,Sodium,Vitamin D,Calcium,Of which Trans,Vitamin C,Selenium,Thiamin,Iodine,Potassium,Riboflavin,Vitamin E,Vitamin B6,Biotin,Copper,Of which Polyols,Manganese,Omega 6,Folic Acid,Niacin,Polyunsaturates,Salt Equivalent,Magnesium,Pathogenic Acid,Zinc,Of which Starch,Vitamin K,Chloride,Pantothenic Acid,Cholesterol,Of which Cholesterol,box,label-glued,shrinkwrap,Omega 9
5396,59.6g,493kcal,22.9g,2.5g,16.2g,8.0g,10.8g,2.2g,Carr's Cheese Melts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5397,62g,490kcal,23g,2.2g,2.6g,8.3g,7.2g,1.30g,Ritz Crackers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5398,58.5g,477kcal,21.2g,4.5g,8.5g,2.2g,10.8g,1.01g,Essential Poppy & Sesame Seed Thins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5399,56.7g,527kcal,28.8g,3.0g,13.8g,1.0g,8.9g,0.83g,Jacob's Cornish wafers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5400,73g,390kcal,8.2g,2.6g,2.5g,1.7g,10.9g,2.30g,Crosta & Mollica Torinesi Breadsticks Parmesan Poppy Seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5401,73.9g,412kcal,7.6g,4.2g,3.3g,1.6g,10.0g,1.5g,Carr's table water biscuits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5402,66.2g,433kcal,13.8g,3.7g,7.7g,2.2g,9.2g,1.2g,Fortt's Bath Oliver Biscuits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5403,48.5g,537kcal,32.2g,1.9g,15.6g,3.3g,12.5g,1.50g,Essential Cheese Thins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5404,63.3g,476kcal,19.6g,1.9g,14.0g,3.9g,10.7g,1.3g,Jacob's Savours Cheese Thins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5405,63.7g,455kcal,17.2g,4.8g,9.0g,7.6g,9.1g,1.8g,Carr's Biscuit Selection Box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5406,58.0g,476kcal,21.7g,5.2g,15.1g,6.9g,9.6g,2.5g,Carr's melts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5407,65.0g,485kcal,18.7g,7.2g,9.6g,2.3g,10.3g,1.7g,Jacobs Krackawheat Crackers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
